Id,Id2,City_State,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome
310M200US10180,10180,"Abilene, TX",13.3,30,48.6,8.1,30303
310M200US10420,10420,"Akron, OH",11.6,27.6,50.9,9.8,35826
310M200US10500,10500,"Albany, GA",23.6,28.1,44.1,4.2,29228
310M200US10540,10540,"Albany, NY",18.1,33.4,44.5,4.1,30053
310M200US10580,10580,"Albany, OR",9,26.3,50.1,14.5,41881
310M200US10740,10740,"Albuquerque, NM",18.4,27.8,47.6,6.2,34173
310M200US10780,10780,"Alexandria, LA",19.1,39.5,37.8,3.7,30754
310M200US10900,10900,"Allentown, PA",12.3,31.6,46.2,9.9,38245
310M200US11020,11020,"Altoona, PA",9.1,42,40.4,8.4,30568
310M200US11100,11100,"Amarillo, TX",17.9,28.4,48.5,5.2,33928
310M200US11180,11180,"Ames, IA",1.6,10.4,75,13.1,39564
310M200US11260,11260,"Anchorage, AK",15.5,37.2,41.4,5.9,46234
310M200US11460,11460,"Ann Arbor, MI",5.3,14.3,63,17.5,41761
310M200US11500,11500,"Anniston, AL",15.8,30.3,49.6,4.3,29220
310M200US11540,11540,"Appleton, WI",13,34.2,43.2,9.6,39006
310M200US11700,11700,"Arlington, VA",18.7,28.5,44.1,8.6,30316
310M200US12020,12020,"Asheville, NC",6.2,23.5,57.4,12.9,31175
310M200US12060,12060,"Athens, GA",18.4,29.5,42.6,9.5,37321
310M200US12100,12100,"Atlanta, GA",12.5,32.3,46.3,8.9,34137
310M200US12220,12220,"Atlantic City, NJ",7.5,16.8,65.4,10.4,35099
310M200US12260,12260,"Auburn, AL",21.2,34.4,37.5,7,32586
310M200US12420,12420,"Augusta, GA",13.1,23.7,51.9,11.2,38750
310M200US12540,12540,"Austin, TX",20.9,35.5,40,3.6,30127
310M200US12580,12580,"Bakersfield, CA",11.9,29.9,45,13.3,46977
310M200US12620,12620,"Baltimore, MD",9.8,22.3,59.1,8.7,31850
310M200US12700,12700,"Bangor, ME",11.4,36.8,40.9,10.8,38587
310M200US12940,12940,"Barnstable, MA",16.3,26.1,48.6,9.1,37565
310M200US12980,12980,"Baton Rouge, LA",17.1,32.1,45,5.8,31473
310M200US13020,13020,"Battle Creek, MI",14,34.2,44.5,7.3,31966
310M200US13140,13140,"Bay City, MI",18.4,38.1,38.4,5,32621
310M200US13220,13220,"Beaumont, TX",16.7,41.2,35.6,6.4,30673
310M200US13380,13380,"Beckley, WV",10,21.2,61.6,7.2,34525
310M200US13460,13460,"Bellingham, WA",15.7,28.5,50.1,5.7,30451
310M200US13740,13740,"Bend, OR",16.2,38.3,38.1,7.4,32360
310M200US13780,13780,"Billings, MT",10.2,27.7,50.5,11.6,33310
310M200US13820,13820,"Binghamton, NY",16,30.4,44.5,9.2,35652
310M200US13900,13900,"Birmingham, AL",7.7,28.9,53.9,9.5,38960
310M200US13980,13980,"Bismarck, ND",3.9,16.2,69.4,10.5,33887
310M200US14010,14010,"Blacksburg, VA",6.9,16.2,66.3,10.7,40997
310M200US14020,14020,"Bloomington, IL",4.8,20.2,63.4,11.6,31776
310M200US14100,14100,"Bloomington, IN",8,30.6,54.5,6.8,33754
310M200US14260,14260,"Bloomsburg, PA",14.1,33.8,43.6,8.5,31718
310M200US14460,14460,"Boise City, ID",10.2,26.6,45,18.2,47611
310M200US14500,14500,"Boston, MA",5.7,17.9,59.7,16.7,42120
310M200US14540,14540,"Boulder, CO",9.6,30.6,52.8,7,31265
310M200US14740,14740,"Bowling, KY",13.2,38.7,41.8,6.4,40994
310M200US14860,14860,"Bremerton, WA",15.4,27.8,40.5,16.3,49036
310M200US15180,15180,"Bridgeport, CT",24.1,32,40.8,3.1,23386
310M200US15260,15260,"Brownsville, TX",18.9,42.9,33.8,4.5,29504
310M200US15380,15380,"Brunswick, GA",11,27.4,47.4,14.2,37201
310M200US15500,15500,"Buffalo, NY",19.2,25.6,48.3,6.9,30963
310M200US15540,15540,"Burlington, NC",7.2,18.9,59.2,14.6,39632
310M200US15680,15680,"Burlington, VY",14.9,27.8,47.7,9.6,51944
310M200US15940,15940,"California, MD",14.3,32.4,45.8,7.5,31692
310M200US15980,15980,"Canton, OH",20.4,33.3,40.6,5.7,28703
310M200US16020,16020,"Cape Coral, FL",11.8,24.3,56.4,7.5,31126
310M200US16060,16060,"Cape Girardeau, MI",6.6,25,59.4,9,30355
310M200US16180,16180,"Carbondale, IL",16.7,35.2,43.2,4.9,31802
310M200US16220,16220,"Carson City, NY",16.8,34,44.6,4.6,36761
310M200US16300,16300,"Casper, WY",12.2,25.5,52.5,9.8,39233
310M200US16540,16540,"Cedar Rapids, IA",18.7,44.2,29.9,7.2,35474
310M200US16580,16580,"Chambersburg, PA",5.2,15.5,64.7,14.5,35508
310M200US16620,16620,"Champaign, IL",21,33,37.9,8,33590
310M200US16700,16700,"Charleston, SC",14.3,27.7,47.4,10.7,35022
310M200US16740,16740,"Charleston, WV",17.6,28.8,43.8,9.8,35668
310M200US16820,16820,"Charlotte, NC",7.3,29,49.3,14.4,39084
310M200US16860,16860,"Charlottesville, VA",16,30.5,47.1,6.4,32380
310M200US16940,16940,"Chattanooga, TN",13.1,32.3,47.2,7.4,38099
310M200US16980,16980,"Cheyenne, WY",15,28.6,42.7,13.7,40318
310M200US17020,17020,"Chicago, IL",8.5,23.7,60.8,7.1,31330
310M200US17140,17140,"Chico, CA",13,32.5,43.6,10.9,37833
310M200US17300,17300,"Cincinnati, OH",10.4,38.7,44.8,6.2,32399
310M200US17420,17420,"Clarksville, TN",12.6,36.5,45.1,5.8,29181
310M200US17460,17460,"Cleveland, OH",18,29.9,40.9,11.1,36577
310M200US17660,17660,"Cleveland, TN",16.6,35,43.7,4.7,30312
310M200US17780,17780,"Coeur d/Alene, ID",5.4,13.6,69.2,11.7,32493
310M200US17820,17820,"College Station, TX",11.8,30.4,50.2,7.5,36724
310M200US17860,17860,"Colorado Springs, CO",3.9,11.6,68.7,15.8,35844
310M200US17900,17900,"Columbia, MO",11.6,30.4,48.7,9.3,33845
310M200US17980,17980,"Columbia, SC",15.4,33.9,44.8,6,31277
310M200US18020,18020,"Columbus, GA",21.3,41.1,27.3,10.3,36565
310M200US18140,18140,"Columbus, IN",13.8,27.1,46.6,12.5,38232
310M200US18580,18580,"Columbus, OH",17.5,33.9,41.6,6.9,31734
310M200US18700,18700,"Corpus Christi, TX",3.9,12.6,72.9,10.6,34215
310M200US18880,18880,"Corvallis, OR",14.8,33.7,44.8,6.6,31947
310M200US19060,19060,"Crestview, FL",11,32.7,51.7,4.5,30537
310M200US19100,19100,"Cumberland, MD",18.3,30,42.4,9.3,38748
310M200US19140,19140,"Dallas, TX",25.2,31.8,37.4,5.6,27437
310M200US19180,19180,"Dalton, GA",18.8,39.3,36.9,5,32073
310M200US19300,19300,"Danville, IL",20.7,32.3,38.4,8.5,31463
310M200US19340,19340,"Daphne, AL",14.8,29.1,46.5,9.7,35029
310M200US19380,19380,"Davenport, IA",13.1,25.4,52.7,8.8,33925
310M200US19460,19460,"Dayton, OH",19.3,31.3,44.1,5.2,31089
310M200US19500,19500,"Decatur, AL",12,31.4,50.4,6.1,33479
310M200US19660,19660,"Decatur, IL",16.3,31.2,47.1,5.4,29685
310M200US19740,19740,"Deltona, FL",17.2,28.8,40.9,13.1,41389
310M200US19780,19780,"Denver, CO",13.2,28.3,43.8,14.7,40332
310M200US19820,19820,"Des Moines, IA",16.1,29.9,44.8,9.2,37434
310M200US20020,20020,"Detroit, MI",20.3,37.3,37.3,5.1,30176
310M200US20100,20100,"Dothan, AL",14.5,27.3,51.1,7.2,36382
310M200US20220,20220,"Dover, DE",7.7,24,58.2,10,33849
310M200US20260,20260,"Dubuque, IA",10.2,23.1,58.1,8.7,33276
310M200US20500,20500,"Duluth, MN",12.2,21.7,50.2,16,36599
310M200US20700,20700,"Durham, NC",10,37.4,45.6,7,34478
310M200US20740,20740,"East Stroudsburg, PA",9.1,28.1,56.3,6.5,32514
310M200US20940,20940,"Eau Claire, WI",21.7,27.6,48.2,2.4,27458
310M200US21060,21060,"El Centro, CA",11.7,43.7,39.3,5.3,32402
310M200US21140,21140,"El Paso, TX",27.9,35.1,33.1,3.9,31454
310M200US21300,21300,"Elizabethtown, KY",12.3,33.5,46.4,7.9,35770
310M200US21340,21340,"Elkhart, IN",15.8,31,47.7,5.5,26662
310M200US21500,21500,"Elmira, NY",11.9,31.7,46.5,9.8,31852
310M200US21660,21660,"Erie, PA",8.9,23.3,60.5,7.3,29824
310M200US21780,21780,"Eugene, OR",15.5,30.4,46.4,7.8,33756
310M200US21820,21820,"Evansville, IN",14,29.7,49.6,6.7,43753
310M200US22020,22020,"Fairbanks, AK",5.3,21,61.2,12.5,37371
310M200US22140,22140,"Fargo, ND",22.5,34.4,41.7,1.4,32374
310M200US22180,22180,"Farmington, NM",13.4,34.6,45,6.9,32440
310M200US22220,22220,"Fayetteville, AR",13,31.6,46,9.5,33347
310M200US22380,22380,"Fayetteville, NC",10,25.4,58.1,6.5,32091
310M200US22420,22420,"Flagstaff, AZ",19.8,31.8,42.8,5.6,30747
310M200US22500,22500,"Flint, MI",20.9,29.7,43.1,6.3,30671
310M200US22520,22520,"Florence, AL",15.1,26.9,53.5,4.5,31264
310M200US22540,22540,"Florence, SC",11.7,34,47.5,6.7,35874
310M200US22660,22660,"Fond du Lac, WI",6.7,20.4,61.2,11.7,36923
310M200US22900,22900,"Fort Collins, CO",19.1,38.8,38,4.1,28977
310M200US23060,23060,"Fort Smith, AR",18.4,29.7,42.8,9,34729
310M200US23420,23420,"Fort Wayne, IN",19,27.3,49,4.7,29048
310M200US23460,23460,"Fresno, CA",21.1,31.5,43.5,3.9,28900
310M200US23540,23540,"Gadsden, AL",7.2,12.7,64.6,15.6,34032
310M200US23580,23580,"Gainesville, FL",22.9,36.2,36.8,4.1,31019
310M200US23900,23900,"Gainesville, GA",10.4,36.5,46.1,7,34972
310M200US24020,24020,"Gettysburg, PA",16.8,38.7,36.9,7.6,33366
310M200US24140,24140,"Glens Falls, NY",19.3,30.2,46.8,3.7,29420
310M200US24220,24220,"Goldsboro, NC",5.4,20.8,65.2,8.7,35377
310M200US24260,24260,"Grand Forks, ND",21.4,37.8,36.8,3.9,30529
310M200US24300,24300,"Grand Island, NE",16.9,26.7,52.5,3.8,32515
310M200US24340,24340,"Grand Junction, CO",12.8,26.5,50.2,10.6,33986
310M200US24420,24420,"Grand Rapids, MI",21,34.9,41.2,2.9,24922
310M200US24500,24500,"Grants Pass, OR",14.9,33.7,45.1,6.3,30300
310M200US24540,24540,"Great Falls, MT",14.7,29.5,49.1,6.7,36540
310M200US24580,24580,"Greeley, CO",16.8,31.5,43.7,8,35367
310M200US24660,24660,"Green Bay, WI",14.8,28.5,48.2,8.5,31890
310M200US24780,24780,"Greensboro, NC",7.5,18.2,63.4,10.9,33182
310M200US24860,24860,"Greenville, NC",16.2,26.6,48.5,8.7,32910
310M200US25060,25060,"Greenville, SC",16.9,32.7,46.1,4.2,31517
310M200US25180,25180,"Gulfport, MS",17.3,36.5,37.4,8.8,37079
310M200US25220,25220,"Hagerstown, MD",16.9,26.3,51.3,5.5,31703
310M200US25260,25260,"Hammond, LA",24.6,28.2,44.2,3,30358
310M200US25420,25420,"Hanford, CA",14,30.4,45.6,10,38109
310M200US25500,25500,"Harrisburg, PA",6.2,22.5,63.9,7.4,31298
310M200US25540,25540,"Harrisonburg, VA",12.1,25.6,50,12.3,45998
310M200US25620,25620,"Hartford, CT",12,20.6,59.1,8.2,30735
310M200US25860,25860,"Hattiesburg, MS",20.1,33.7,41.5,4.8,28766
310M200US25940,25940,"Hickory, NC",13.9,43.4,36.8,5.9,30179
310M200US25980,25980,"Hilton Head Island, SC",13,45,39.2,2.7,32475
310M200US26140,26140,"Hinesville, GA",24.8,43.1,28.2,3.9,25995
310M200US26300,26300,"Homosassa Springs, FL",21.4,32.9,42.8,2.9,26449
310M200US26380,26380,"Honolulu, HI",25.6,37.9,31.4,5.1,35514
310M200US26420,26420,"Hot Springs, AR",19.8,30.5,41.4,8.2,38315
310M200US26580,26580,"Houma, LA",13.4,34.2,44.3,8.1,31832
310M200US26620,26620,"Houston, TX",15,28.1,47.4,9.6,37417
310M200US26820,26820,"Huntington, VW",17.9,38.7,38.4,5,30716
310M200US26900,26900,"Huntsville, AL",21.3,29.7,38.4,10.6,36282
310M200US26980,26980,"Idaho Falls, ID",4.4,17.4,62.2,15.9,39350
310M200US27060,27060,"Indianapolis, IN",2.8,13.6,68.1,15.5,38614
310M200US27100,27100,"Iowa City, IA",17.6,28.6,49.1,4.8,32007
310M200US27140,27140,"Ithaca, NY",17.5,27.2,46.7,8.6,32938
310M200US27180,27180,"Jackson, MI",10.6,28.5,54.5,6.4,31297
310M200US27260,27260,"Jackson, MS",17.1,33.3,41.3,8.3,35053
310M200US27340,27340,"Jackson, TN",9.1,43.8,43.9,3.3,31653
310M200US27500,27500,"Jacksonville, FL",13.2,41.3,39,6.5,32840
310M200US27620,27620,"Jacksonville, NC",17.6,28.8,46.6,7,33919
310M200US27740,27740,"Janesville, WI",9.3,30.3,49.5,10.8,29823
310M200US27780,27780,"Jefferson City, MO",9.4,32.6,49.3,8.7,31176
310M200US27860,27860,"Johnson City, TN",10.9,33.5,47.4,8.2,29470
310M200US27900,27900,"Johnstown, PA",14.1,34.7,44.3,6.9,30266
310M200US27980,27980,"Jonesboro, AR",14.4,43.4,36.9,5.3,34147
310M200US28020,28020,"Joplin, MO",9.8,21,58.8,10.4,33770
310M200US28100,28100,"Kahului, HI",12,30.9,50.3,6.7,35662
310M200US28140,28140,"Kalamazoo, MI",14.8,31.2,42.1,11.8,38356
310M200US28420,28420,"Kankakee, IL",24.8,34.9,35.9,4.4,35719
310M200US28660,28660,"Kansas City, MO",11.2,42.1,41.3,5.4,34122
310M200US28700,28700,"Kennewick, WA",12.6,39.3,41.1,7,29628
310M200US28740,28740,"Killeen, TX",11.5,28.9,49.4,10.1,37053
310M200US28940,28940,"Kingsport, TN",12.6,32.8,45.6,9,32781
310M200US29020,29020,"Kingston, NY",22.7,32.8,37,7.4,31684
310M200US29100,29100,"Knoxville, TN",6,28.8,56.3,8.9,35185
310M200US29180,29180,"Kokomo, IN",19.6,31.5,42.9,6,34125
310M200US29200,29200,"La Crosse, WI",4.9,24.8,58.2,12.1,33066
310M200US29340,29340,"Lafayette, IN",16.3,34,44,5.7,33530
310M200US29420,29420,"Lafayette, LA",25.1,37.7,33.8,3.4,25816
310M200US29460,29460,"Lake Charles, LA",22.6,35.2,37.7,4.6,30418
310M200US29540,29540,"Lake Havasu City, AZ",19,35.6,37.4,8,35579
310M200US29620,29620,"Lakeland, FL",7.1,19.1,61.7,12,35735
310M200US29700,29700,"Lancaster, PA",21.6,30.4,44,4.1,24642
310M200US29740,29740,"Lansing, MI",16.4,21.1,57,5.5,24976
310M200US29820,29820,"Laredo, TX",21,36.1,38.3,4.7,33451
310M200US29940,29940,"Las Cruses, NM",3.8,12.4,69.7,14.1,35598
310M200US30020,30020,"Las Vegas, NV",13.1,41.8,37.7,7.3,31342
310M200US30140,30140,"Lawrence, KS",18.9,32,41,8.1,36067
310M200US30300,30300,"Lawton, OK",14.2,35.5,44.4,5.9,30783
310M200US30340,30340,"Lebanon, PA",12.5,36.2,44.6,6.8,32218
310M200US30460,30460,"Lewiston, ID",9,25.8,52.2,13.1,33838
310M200US30620,30620,"Lewiston, ME",16.7,31,46.1,6.2,30416
310M200US30700,30700,"Lexington, KY",5.8,18.2,63.6,12.4,35638
310M200US30780,30780,"Lima, OH",13.4,29.8,47.3,9.4,35193
310M200US30860,30860,"Lincoln, NE",5.3,22.1,65.2,7.4,30112
310M200US30980,30980,"Little Rock, AR",18.2,32.1,45,4.7,31614
310M200US31020,31020,"Logan, UT",20.8,35.2,40.9,3.1,32947
310M200US31080,31080,"Longview, TX",15.5,26.7,48.1,9.8,35310
310M200US31140,31140,"Longview, WA",17.2,34,40.2,8.7,34911
310M200US31180,31180,"Los Angeles, CA",8.7,19.5,62.2,9.7,31437
310M200US31340,31340,"Louisville, KY",8.3,26.7,55.5,9.5,32578
310M200US31420,31420,"Lubbock, TX",20.4,34.4,39.2,6.1,31289
310M200US31460,31460,"Lynchburg, VA",30.9,28.6,39.1,1.4,25349
310M200US31540,31540,"Macon, GA",8.2,24.3,49.3,18.2,39837
310M200US31700,31700,"Madera, CA",12.9,31.8,41.7,13.7,43861
310M200US31740,31740,"Madison, WI",2.4,21.1,69.1,7.5,35104
310M200US31860,31860,"Manchester, NH",3.7,15.7,72.4,8.2,36025
310M200US31900,31900,"Manhattan, KS",21.6,40.6,33.1,4.7,30496
310M200US32580,32580,"Mankato, NM",23.5,29.2,42.5,4.8,22506
310M200US32780,32780,"Mansfield, OH",13.6,39.2,42.7,4.5,27543
310M200US32820,32820,"McAllen, TX",18.2,32.8,41.2,7.8,34065
310M200US32900,32900,"Medford, OR",13.9,30.1,53.1,2.9,26847
310M200US33100,33100,"Memphis, TN",17.2,29.5,44.9,8.4,31476
310M200US33140,33140,"Merced, CA",23.3,39,34.6,3.1,32260
310M200US33220,33220,"Miami, FL",12.4,32.7,45.8,9.1,35615
310M200US33260,33260,"Michigan City, IN",20.5,35.6,37.3,6.6,41431
310M200US33340,33340,"Midland, MI",14.3,28.2,45.9,11.6,38497
310M200US33460,33460,"Midland, TX",13.3,26.2,45.8,14.7,42955
310M200US33540,33540,"Milwaukee, WI",9.3,27.1,53.8,9.8,30419
310M200US33660,33660,"Minneapolis, MN",21.3,31,40.5,7.2,31986
310M200US33700,33700,"Missoula, MT",13.4,37.4,45.8,3.4,31605
310M200US33740,33740,"Mobile, AL",18.3,31.4,45.6,4.7,31419
310M200US33780,33780,"Modesto, CA",13.5,35.3,45.6,5.6,36859
310M200US33860,33860,"Monroe, LA",21.6,32.1,39.5,6.7,33085
310M200US34060,34060,"Monroe, MI",5,25.5,55.4,14,34093
