Id,Id2,City_State,Population,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome,EnglishOnly,LanguageNotEnglish,Spanish,AsianLanguages,AllAvailableUnits,Median_Rent
310M200US10180,10180,"Abilene, TX",167171,13.3,30,48.6,8.1,30303,84.6,15.4,12.4,0.9,9831,400-449
310M200US10420,10420,"Akron, OH",703017,11.6,27.6,50.9,9.8,35826,94.6,5.4,1.1,1.3,31241,550-599
310M200US10500,10500,"Albany, GA",156706,23.6,28.1,44.1,4.2,29228,96.5,3.5,2.1,0.3,8007,450-499
310M200US10540,10540,"Albany, NY",118270,18.1,33.4,44.5,4.1,30053,92.9,7.1,5.1,0.6,4046,650-699
310M200US10580,10580,"Albany, OR",875567,9,26.3,50.1,14.5,41881,91.1,8.9,2.8,1.8,47706,800-899
310M200US10740,10740,"Albuquerque, NM",899137,18.4,27.8,47.6,6.2,34173,69.1,30.9,25.1,1.4,33307,1000-1249
310M200US10780,10780,"Alexandria, LA",154562,19.1,39.5,37.8,3.7,30754,94,6,2.9,0.9,10498,400-449
310M200US10900,10900,"Allentown, PA",826260,12.3,31.6,46.2,9.9,38245,84.1,15.9,9.9,1.2,29571,800-899
310M200US11020,11020,"Altoona, PA",126708,9.1,42,40.4,8.4,30568,97.1,2.9,1,0.5,5263,450-499
310M200US11100,11100,"Amarillo, TX",257038,17.9,28.4,48.5,5.2,33928,79.9,20.1,16.4,2.3,9654,500-549
310M200US11180,11180,"Ames, IA",91939,1.6,10.4,75,13.1,39564,90.4,9.6,2.3,4.5,1684,600-649
310M200US11260,11260,"Anchorage, AK",392021,15.5,37.2,41.4,5.9,46234,84.7,15.3,4,6.8,18811,800-899
310M200US11460,11460,"Ann Arbor, MI",351454,5.3,14.3,63,17.5,41761,85.7,14.3,2.7,5.5,11635,800-899
310M200US11500,11500,"Anniston, AL",117186,15.8,30.3,49.6,4.3,29220,95.7,4.3,2.9,0.6,7958,300-349
310M200US11540,11540,"Appleton, WI",228641,13,34.2,43.2,9.6,39006,93.2,6.8,3.4,2.2,5242,550-599
310M200US11700,11700,"Arlington, VA",433204,18.7,28.5,44.1,8.6,30316,92.7,7.3,5,0.6,33796,650-699
310M200US12020,12020,"Asheville, NC",196287,6.2,23.5,57.4,12.9,31175,89.2,10.8,6.8,2,13184,500-549
310M200US12060,12060,"Athens, GA",5455053,18.4,29.5,42.6,9.5,37321,82.5,17.5,9.3,3.3,252315,800-899
310M200US12100,12100,"Atlanta, GA",275325,12.5,32.3,46.3,8.9,34137,73.5,26.5,14.9,4.1,25938,800-899
310M200US12220,12220,"Atlantic City, NJ",147790,7.5,16.8,65.4,10.4,35099,92.5,7.5,3.2,2.5,7621,500-549
