the_geom,lsad,name,county,tract,cnty_tract,state,geo_id,GISJOIN,censusarea
0106000020E61000000100000001030000000100000010000000995E622CD37752C0724A404CC2654440B50DA320787752C0A6AFE76B96654440CF967329AE7752C0C648F608356544404448DDCEBE7752C0B580D07AF8644440952023A0C27752C07CC7F0D8CF644440F7C43A55BE7752C0C2D155BABB64444016BA1281EA7752C02FB610E4A06444401F9738F2407852C0CB07043A93644440D09332A9A17852C063AC36FFAF644440C887A06AF47852C0C7772975C9644440A0116C5CFF7852C0870CAB7823654440746D6FB7247952C0FD25A94C316544405EE97C78967952C0C5A52A6D7165444094B9F946747952C045E7FC14C765444025E318C91E7952C0F2AD0FEB8D664440995E622CD37752C0724A404CC2654440,Tract,1,5,100,5100,36,1400000US,36005000100,0.61
0106000020E6100000010000000103000000010000001600000015F88A6EBD7652C0285AB917986744405E09A4C4AE7652C0ABE28DCC23674440D6F84CF6CF7652C077094E7D2067444001F4FBFECD7652C0F8122A38BC66444082F6EAE3A17652C081FFAD64C7664440DD8FDB2F9F7652C060C092AB586644403688D68A367752C05DF1D4230D66444076A04E79747752C0266893C3276744408F4B1C79207752C080B1BE81C9674440D475A8A6247752C05928999CDA67444000C11C3D7E7752C0C0C2499A3F684440447A51BB5F7752C060527C7C42684440E21934F44F7752C05EB69DB6466844400D2C47C8407752C04AAFCDC64A684440ED056685227752C05025CADE526844402BB4739A057752C0A7380EBC5A6844403F87F9F2027752C08041D2A75568444001486DE2E47652C091E7FA3E1C6844407CE4D6A4DB7652C0B2B3E89D0A684440AF0111E2CA7652C0ED3D5C72DC6744409BF7FF71C27652C01DF0C000C267444015F88A6EBD7652C0285AB91798674440,Tract,2,5,200,5200,36,1400000US,36005000200,0.176
0106000020E61000000100000001030000000100000022000000CA129D65167652C013E63DCE34674440EAFEB1101D7652C0C86ABA9EE8664440A31820D1047652C0BAB376DB856644400F5CE509847652C0E1874A2366664440DD8FDB2F9F7652C060C092AB5866444082F6EAE3A17652C081FFAD64C766444001F4FBFECD7652C0F8122A38BC664440D6F84CF6CF7652C077094E7D206744405E09A4C4AE7652C0ABE28DCC2367444015F88A6EBD7652C0285AB917986744409BF7FF71C27652C01DF0C000C2674440AF0111E2CA7652C0ED3D5C72DC6744407CE4D6A4DB7652C0B2B3E89D0A68444001486DE2E47652C091E7FA3E1C6844403F87F9F2027752C08041D2A7556844402BB4739A057752C0A7380EBC5A68444056AF22A3037752C00BFE7E315B684440877E6DFDF47652C056FFE7305F6844406ACA15DEE57652C013747B496368444031315D88D57652C0824BC79C67684440010B60CAC07652C0AFFF3A376D68444087CDC7B5A17652C03A54539275684440CFD4EB16817652C0B8FAB1497E684440D9C9E028797652C020FFCC203E684440BD4C1421757652C0CED8976C3C6844406D88F19A577652C048F608354368444016D68D77477652C0F8BCE2A9476844408AFCFA21367652C019F7E6374C684440CFEFFB372F7652C0851C5BCF10684440980F0874267652C03B0801F9126844402889EC832C7652C01A2C9CA4F967444089F9B9A1297652C05C15A8C5E067444050094FE8F57552C0EF2A6B9BE2674440CA129D65167652C013E63DCE34674440,Tract,4,5,400,5400,36,1400000US,36005000400,0.352
0106000020E6100000010000000103000000010000001400000056AF22A3037752C00BFE7E315B6844402BB4739A057752C0A7380EBC5A684440ED056685227752C05025CADE5268444066EF8CB62A7752C05EB532E1976844408C7E349C327752C04C2CF015DD6844405D5FEB52237752C0BB033C69E168444006CDAE7B2B7752C0502FF83427694440E0CFF0660D7752C0282158552F69444061D520CCED7652C083F1D3B8376944408A1A4CC3F07652C0E0FF8EA85069444015F88A6EBD7652C0162AFF5A5E6944407668588CBA7652C0C886359545694440E53C635FB27652C052742497FF684440F5083543AA7652C0162CD505BC68444087CDC7B5A17652C03A54539275684440010B60CAC07652C0AFFF3A376D68444031315D88D57652C0824BC79C676844406ACA15DEE57652C013747B4963684440877E6DFDF47652C056FFE7305F68444056AF22A3037752C00BFE7E315B684440,Tract,16,5,1600,51600,36,1400000US,36005001600,0.187
0106000020E61000000100000001030000000100000026000000AE0111E2CA7A52C0F788981249664440E3B9BE0F077B52C0DB442DCDAD6644404250357A357B52C0CAD93BA3AD6644401A2E724F577B52C088EAAD81AD664440108AADA0697B52C0273FA9F6E966444083F3A963957B52C0EA116A86546744407D5358A9A07B52C0DFD1C6116B67444078B0C56E9F7B52C0AA5CA8FC6B674440A126FA7C947B52C06AF294D57467444098F4F752787B52C06A020CCB9F674440492025766D7B52C0D27ABFD18E67444061BD512B4C7B52C059EF37DA716744408570CCB2277B52C070581AF851674440BB3D0801F97A52C0C5F7C5A52A6744403F4D2D5BEB7A52C0AD7E6C921F6744405FFC34EECD7A52C084B18520076744405548F949B57A52C07C1EA33CF3664440FCDCD0949D7A52C02CABB019E06644406F067FBF987A52C04F30630AD6664440E4603601867A52C0CA069964E466444062E76D6C767A52C000310917F2664440CDFE40B96D7A52C042D95BCAF9664440D70DDB16657A52C0DB0F786000674440615C7171547A52C097D53BDC0E674440463A03232F7A52C0D4928E7230674440ECD11BEE237A52C0F3FC69A33A674440AB8BDB68007A52C0AD0FEB8D5A6744400A0C59DDEA7952C0AC669DF17D6744408BF7E3F6CB7952C09CD7D825AA67444008336DFFCA7952C05863D009A16744402058552FBF7952C0D2D9C9E02867444089213999B87952C0880629780A67444025E318C91E7952C0F2AD0FEB8D66444094B9F946747952C045E7FC14C76544405EE97C78967952C0C5A52A6D71654440D6D9907F667A52C057DDEA39E9654440CD35CCD0787A52C08EF46915FD654440AE0111E2CA7A52C0F788981249664440,Tract,19,5,1900,51900,36,1400000US,36005001900,0.635
0106000020E61000000100000001030000000100000012000000E21934F44F7752C05EB69DB646684440447A51BB5F7752C060527C7C4268444000C11C3D7E7752C0C0C2499A3F6844409E5912A0A67752C0ECB60BCD7568444029E27492AD7752C07FAE7D01BD684440A788D349B67752C0696803B001694440C985CABF967752C005280D350A694440660B08AD877752C06394675E0E694440BAE47FF2777752C060F88898126944402329E961687752C0CFCFD4EB166944400F02F225547752C0A15C1ABFF068444064DEAAEB507752C0743A90F5D4684440482A53CC417752C090B75CFDD86844408C7E349C327752C04C2CF015DD68444066EF8CB62A7752C05EB532E197684440ED056685227752C05025CADE526844400D2C47C8407752C04AAFCDC64A684440E21934F44F7752C05EB69DB646684440,Tract,20,5,2000,52000,36,1400000US,36005002000,0.153
0106000020E6100000010000000103000000010000000A000000EAFB7090107B52C0A97F10C99067444069BC7493187B52C0188524B37A6744406A753925207B52C00C350A49666744408570CCB2277B52C070581AF85167444061BD512B4C7B52C059EF37DA71674440492025766D7B52C0D27ABFD18E67444098F4F752787B52C06A020CCB9F674440D39B51F3557B52C0A7DC442DCD674440FB89CA86357B52C0F80FE9B7AF674440EAFB7090107B52C0A97F10C990674440,Tract,23,5,2300,52300,36,1400000US,36005002300,0.04
0106000020E61000000100000001030000000100000019000000A788D349B67752C0696803B00169444029E27492AD7752C07FAE7D01BD6844409E5912A0A67752C0ECB60BCD7568444000C11C3D7E7752C0C0C2499A3F684440D475A8A6247752C05928999CDA6744408F4B1C79207752C080B1BE81C967444076A04E79747752C0266893C327674440067AA86DC37752C0633909A52F6844409D3715A9307852C04F4832AB776844406DD921FE617852C0162CD505BC684440E8279CDD5A7852C04769368FC368444036C2A2224E7852C094404AECDA68444058BF99982E7852C079E063B0E2684440374BC972127852C00469C6A2E96844409DB30584D67752C00D643DB5FA684440F2ACA415DF7752C0B9B722314169444054BC9179E47752C0CF3C80457E694440BF249529E67752C0C08A53AD85694440BDBC00FBE87752C01F5F420587694440CDBC1C76DF7752C0C243183F8D6944406181AFE8D67752C0A8B35A608F69444068BDDF68C77752C0FB71FBE5936944405E5D15A8C57752C0519CA38E8E69444008302C7FBE7752C025F38FBE49694440A788D349B67752C0696803B001694440,Tract,24,5,2400,52400,36,1400000US,36005002400,0.261
0106000020E6100000010000000103000000010000000C000000BB3D0801F97A52C0C5F7C5A52A6744408570CCB2277B52C070581AF8516744406A753925207B52C00C350A496667444069BC7493187B52C0188524B37A674440EAFB7090107B52C0A97F10C99067444032349E08E27A52C0CF9A1F7F69674440B06CE690D47A52C0C3CF7F0F5E67444012F1D6F9B77A52C08E54DFF945674440F0B913ECBF7A52C0226420CF2E6744405FFC34EECD7A52C084B18520076744403F4D2D5BEB7A52C0AD7E6C921F674440BB3D0801F97A52C0C5F7C5A52A674440,Tract,25,5,2500,52500,36,1400000US,36005002500,0.049
0106000020E6100000010000000103000000010000000B000000F0B913ECBF7A52C0226420CF2E67444012F1D6F9B77A52C08E54DFF945674440C0560916877A52C06DF7729F1C67444008BC934F8F7A52C0A8BBB20B0667444062E76D6C767A52C000310917F2664440E4603601867A52C0CA069964E46644406F067FBF987A52C04F30630AD6664440FCDCD0949D7A52C02CABB019E06644405548F949B57A52C07C1EA33CF36644405FFC34EECD7A52C084B1852007674440F0B913ECBF7A52C0226420CF2E674440,Tract,27.01,5,2701,52701,36,1400000US,36005002701,0.032
