GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60005E+12,,2010-2014,New York,36,Bronx County,5,100,5100,"Census Tract 1, Bronx County, New York",8430,0.659,0.308,0,0.008,0.002,0.001,0,0,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0.002,0.004,0.004,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0.003,0,0.001,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,200,5200,"Census Tract 2, Bronx County, New York",4854,0.367,0.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.034,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,400,5400,"Census Tract 4, Bronx County, New York",5289,0.473,0.502,0.018,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,1600,51600,"Census Tract 16, Bronx County, New York",4963,0.402,0.551,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,1900,51900,"Census Tract 19, Bronx County, New York",2392,0.37,0.545,0.024,0.014,0,0,0.004,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.026,0,0,0.015,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2000,52000,"Census Tract 20, Bronx County, New York",8387,0.49,0.49,0.005,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0.005,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2300,52300,"Census Tract 23, Bronx County, New York",4450,0.37,0.606,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2500,52500,"Census Tract 25, Bronx County, New York",4684,0.275,0.673,0.003,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.008,0.001,0,0,0,0,0,0,0.001,0.002
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2701,52701,"Census Tract 27.01, Bronx County, New York",2927,0.332,0.572,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.015
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2702,52702,"Census Tract 27.02, Bronx County, New York",4380,0.383,0.591,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.021
3.60005E+12,,2010-2014,New York,36,Bronx County,5,2800,52800,"Census Tract 28, Bronx County, New York",5442,0.711,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.053,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3100,53100,"Census Tract 31, Bronx County, New York",1428,0.182,0.682,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0.057,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3300,53300,"Census Tract 33, Bronx County, New York",3543,0.36,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3500,53500,"Census Tract 35, Bronx County, New York",3411,0.291,0.649,0.011,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3700,53700,"Census Tract 37, Bronx County, New York",181,0.381,0.464,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3800,53800,"Census Tract 38, Bronx County, New York",1176,0.522,0.379,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,3900,53900,"Census Tract 39, Bronx County, New York",5680,0.242,0.731,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0.016
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4001,54001,"Census Tract 40, Bronx County, New York",1445,0.388,0.217,0,0,0.009,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.131,0,0.089,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4100,54100,"Census Tract 41, Bronx County, New York",5975,0.43,0.561,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4200,54200,"Census Tract 42, Bronx County, New York",7166,0.617,0.355,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4300,54300,"Census Tract 43, Bronx County, New York",5149,0.33,0.649,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4400,54400,"Census Tract 44, Bronx County, New York",4503,0.511,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4600,54600,"Census Tract 46, Bronx County, New York",1544,0.463,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,4800,54800,"Census Tract 48, Bronx County, New York",3622,0.271,0.662,0,0.004,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.011,0.001,0,0,0,0,0,0.005,0,0.023,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5001,55001,"Census Tract 50.01, Bronx County, New York",4670,0.414,0.535,0.013,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5002,55002,"Census Tract 50.02, Bronx County, New York",5315,0.21,0.708,0.014,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.019,0,0.018,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5100,55100,"Census Tract 51, Bronx County, New York",5294,0.438,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5200,55200,"Census Tract 52, Bronx County, New York",2004,0.33,0.648,0.002,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5300,55300,"Census Tract 53, Bronx County, New York",2912,0.619,0.343,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5400,55400,"Census Tract 54, Bronx County, New York",5855,0.299,0.642,0.043,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.002
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5600,55600,"Census Tract 56, Bronx County, New York",2124,0.385,0.58,0.008,0.014,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,5902,55902,"Census Tract 59.02, Bronx County, New York",2638,0.318,0.665,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.004,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6000,56000,"Census Tract 60, Bronx County, New York",1103,0.332,0.618,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.024,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6100,56100,"Census Tract 61, Bronx County, New York",3804,0.82,0.12,0,0.008,0,0,0,0,0.004,0,0.005,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6200,56200,"Census Tract 62, Bronx County, New York",7089,0.348,0.626,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6300,56300,"Census Tract 63, Bronx County, New York",4306,0.3,0.573,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.058,0,0,0,0,0,0,0,0,0.005,0.004,0,0,0,0.002,0,0.017,0.003
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6400,56400,"Census Tract 64, Bronx County, New York",3174,0.425,0.49,0.006,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6500,56500,"Census Tract 65, Bronx County, New York",5347,0.339,0.548,0.012,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0,0,0.045,0,0.045,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6700,56700,"Census Tract 67, Bronx County, New York",7057,0.231,0.658,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0
3.60005E+12,,2010-2014,New York,36,Bronx County,5,6800,56800,"Census Tract 68, Bronx County, New York",2744,0.401,0.508,0.01,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0
