City_state,Individuals,latitude,longitude
"Mobile, AL",8,30.695366,-88.039891
"Anchorage, AK",18,61.218056,-149.900278
"Gilbert, AZ",4,33.352826,-111.789027
"Glendale, AZ",24,33.538652,-112.185987
"Phoenix, AZ",260,33.448377,-112.074037
"Surprise, AZ",4,33.629234,-112.367928
"Tucson, AZ",118,32.221743,-110.926479
"Alhambra, CA",2,34.095287,-118.127015
"Anaheim, CA",14,33.835293,-117.914504
"Antelope, CA",8,38.716687,-121.364422
"Antioch, CA",2,38.004921,-121.805789
"Berkeley, CA",2,37.871593,-122.272747
"Buena Park, CA",6,33.867514,-117.998118
"Burbank, CA",10,34.180839,-118.308966
"Calexico, CA",4,32.678948,-115.498883
"Chatsworth, CA",2,34.250636,-118.61481
"Chula Vista, CA",8,32.640054,-117.084196
"Citrus Heights, CA",12,38.707125,-121.281061
"El Cajon, CA",142,32.794773,-116.962527
"Fair Oaks, CA",6,38.644626,-121.272172
"Fontana, CA",8,34.092234,-117.435048
"Glendale, CA",300,34.142508,-118.255075
"Huntington Beach, CA",6,33.660297,-117.999227
"Huntington Park, CA",6,33.981681,-118.225073
"Irvine, CA",6,33.683947,-117.794694
"La Crescenta, CA",14,34.228754,-118.235119
"La Mesa, CA",30,32.767829,-117.023084
"Lakeside, CA",6,32.857272,-116.922249
"Los Angeles, CA",92,34.052234,-118.243685
"Los Gatos, CA",4,37.235808,-121.962375
"Modesto, CA",20,37.639097,-120.996878
"Montrose, CA",4,34.206551,-118.224685
"Newhall, CA",2,34.373361,-118.54004
"North Highlands, CA",2,38.685736,-121.372175
"Northridge, CA",8,34.238125,-118.530123
"Oakland, CA",46,37.804364,-122.271114
"Palmdale, CA",2,34.579434,-118.116461
"Pomona, CA",6,34.055103,-117.749991
"Poway, CA",4,32.962823,-117.035865
"Rancho Cordova, CA",6,38.589072,-121.302728
"Richmond, CA",4,37.935758,-122.347749
"Roseville, CA",2,38.752124,-121.288006
"Sacramento, CA",40,38.581572,-121.4944
"San Diego, CA",354,32.715738,-117.161084
"San Jose, CA",22,37.338208,-121.886329
"San Marcos, CA",6,33.143372,-117.166145
"Sand City, CA",8,36.617182,-121.848285
"Santa Ana, CA",2,33.745573,-117.867834
"Santee, CA",10,32.838383,-116.973917
"Spring Valley, CA",10,32.744774,-116.998916
"Sunland, CA",6,34.258681,-118.288508
"Tarzana, CA",14,34.149485,-118.550616
"Tujunga, CA",8,34.258681,-118.288508
"Turlock, CA",14,37.494657,-120.846594
"Tustin, CA",8,33.745851,-117.826166
"Valencia, CA",4,34.456151,-118.571382
"Victorville, CA",2,34.536218,-117.292764
"Walnut Creek, CA",2,37.910078,-122.065182
"West Sacramento, CA",10,38.580461,-121.530234
"Woodland Hills, CA",2,34.165357,-118.608975
"Aurora, CO",14,39.729432,-104.83192
"Colorado Springs, CO",2,38.833882,-104.821363
"Denver, CO",260,39.739236,-104.990251
"Englewood, CO",2,39.647765,-104.98776
"Greeley, CO",10,40.423314,-104.709132
"Lakewood, CO",6,39.70471,-105.081373
"Brookfield, CT",2,41.482595,-73.409565
"Derby, CT",6,41.320652,-73.088997
"Hartford, CT",42,41.763711,-72.685093
"New Haven, CT",14,41.308274,-72.927883
"West Haven, CT",4,41.270548,-72.946971
"Apopka, FL",4,28.693408,-81.532215
"Cape Coral, FL",4,26.562854,-81.949533
"Clearwater, FL",22,27.965853,-82.800103
"Cutler Bay, FL",4,25.580832,-80.346859
"Delray Beach, FL",10,26.461463,-80.07282
"Doral, FL",8,25.819542,-80.35533
"Hialeah Gardens, FL",2,25.865096,-80.324496
"Hialeah, FL",84,25.857596,-80.278106
"Homestead, FL",22,25.468722,-80.477557
"Jacksonville, FL",110,30.332184,-81.655651
"Key Largo, FL",6,25.086515,-80.44728
"Kissimmee, FL",4,28.291956,-81.407571
"Lakeland, FL",2,28.039465,-81.949804
"Lehigh Acres, FL",4,26.62535,-81.624803
"Miami Beach, FL",4,25.790654,-80.130045
"Miami Springs, FL",2,25.82232,-80.289495
"Miami, FL",144,25.76168,-80.19179
"Miramar, FL",2,25.986076,-80.30356
"Opa Locka, FL",8,25.902317,-80.250327
"Orlando, FL",38,28.538336,-81.379236
"Palm Springs, FL",28,26.635901,-80.096154
"Plantation, FL",16,26.127586,-80.233104
"Tampa, FL",144,27.950575,-82.457178
"Wellington, FL",8,26.661764,-80.268357
"West Palm Beach, FL",4,26.715342,-80.053375
